MSSubClass,MSZoning,LotFrontage,LotArea,HouseStyle,OverallQual,OverallCond,SalePrice
50,RM,50,6000,1.5Fin,6,6,132500
20,RL,NA,9790,1Story,6,5,143000
20,RL,NA,36500,1Story,5,5,190000
120,RL,40,5664,1Story,8,5,278000
60,RL,86,11065,2Story,8,5,281000
80,RL,NA,14112,SLvl,5,7,180500
160,RM,21,1680,2Story,5,7,119500
70,RM,60,6600,2Story,5,4,107500
60,RL,78,10140,2Story,7,5,162900
20,RL,60,8172,1Story,5,7,115000
20,RL,70,8400,1Story,5,5,138500
20,RL,80,8700,1Story,5,6,155000
180,RM,35,3675,SFoyer,6,5,140000
60,RL,313,63887,2Story,10,5,160000
20,RL,75,7500,1Story,5,7,154000
60,RL,NA,10762,2Story,7,5,225000
70,RL,NA,7500,2Story,6,7,177500
60,RL,92,10120,2Story,8,5,290000
20,RL,73,8688,1Story,7,5,232000
160,RM,32,3363,2Story,7,5,130000
20,RL,108,13173,1Story,9,5,325000
120,RL,48,6955,1Story,7,5,202500
20,RL,60,8072,1Story,5,5,138000
20,RM,100,12000,1Story,5,7,147000
20,RL,NA,7153,1Story,6,5,179200
20,RL,100,17500,1Story,7,8,335000
20,RL,68,8814,1Story,7,5,203000
60,RL,NA,9572,2Story,8,5,302000
60,RL,108,14774,2Story,9,5,333168
20,RL,60,8190,1Story,4,6,119000
60,RL,85,11075,2Story,6,5,206900
20,RL,61,10226,1Story,8,5,295493
120,FV,47,4230,1Story,7,5,208900
20,RL,NA,14781,1Story,8,5,275000
20,RL,75,10215,1Story,4,5,111000
20,RL,70,8400,1Story,6,3,156500
20,RL,NA,6627,1Story,3,6,72500
60,RL,107,10186,2Story,7,5,190000
30,RL,50,5330,1Story,4,7,82500
20,RL,75,9986,1Story,8,5,147000
30,RM,40,3636,1Story,4,4,55000
30,RH,70,4270,1Story,3,6,79000
20,RL,60,6600,1Story,5,9,130500
50,RM,60,10440,1.5Fin,6,7,256000
60,RL,63,9084,2Story,7,5,176500
20,RL,85,10000,1Story,8,5,227000
80,RL,55,10780,SLvl,5,5,132500
20,RL,67,8877,1Story,4,6,100000
50,RM,60,7200,1.5Fin,5,6,125500
160,RM,24,2368,2Story,5,6,125000
20,RL,80,9650,1Story,6,5,167900
90,RL,87,9246,1Story,5,5,135000
30,RM,153,4118,1Story,4,4,52500
60,RL,95,13450,2Story,7,5,200000
20,RL,120,9560,1Story,5,7,128500
20,RL,70,8294,1Story,4,5,123000
20,RL,66,13695,1Story,6,5,155000
60,RL,NA,9375,2Story,8,5,228500
50,RL,57,7558,1.5Fin,6,6,177000
60,RL,85,11103,2Story,7,5,155835
30,RM,50,6000,1Story,4,4,108500
20,RL,NA,20781,1Story,7,7,262500
20,RL,93,15306,1Story,8,5,283463
20,RL,NA,16196,1Story,7,5,215000
70,RM,50,5250,2Story,8,5,122000
90,RL,91,11643,2Story,5,5,200000
60,RL,70,9247,2Story,6,6,171000
50,RM,50,6000,1.5Fin,6,9,134900
50,RL,56,14720,1.5Fin,8,5,410000
60,RL,NA,10316,2Story,7,5,235000
80,RL,102,10192,SLvl,7,6,170000
20,RL,NA,9477,1Story,5,5,110000
20,RL,NA,12537,1Story,5,6,149900
160,FV,NA,2117,2Story,6,5,177500
20,RL,129,16737,1Story,9,5,315000
70,RL,51,9842,2Story,5,6,189000
20,RL,124,16158,1Story,7,5,260000
50,RL,NA,12513,1.5Fin,4,4,104900
60,RL,73,8499,2Story,6,5,156932
160,FV,30,3180,2Story,7,5,144152
60,FV,NA,7500,2Story,7,5,216000
60,RL,68,9179,2Story,7,5,193000
160,RM,41,2665,2Story,5,6,127000
120,RM,NA,4435,1Story,6,5,144000
20,RL,48,10635,1Story,8,5,232000
50,RL,90,5400,1.5Fin,4,6,105000
80,RL,80,9600,SLvl,6,6,165500
60,RL,75,9750,2Story,7,6,274300
20,RL,NA,11400,1Story,10,5,466500
60,FV,85,10625,2Story,7,5,250000
20,RL,89,10991,1Story,8,5,239000
30,RL,52,6292,1Story,6,5,91000
50,RL,60,10998,1.5Fin,5,5,117000
160,RM,21,1953,2Story,6,5,83000
80,RL,73,9735,SLvl,5,5,167500
30,RL,45,8212,1Story,3,3,58500
20,RL,NA,12925,1Story,6,7,237500
70,RM,60,7200,2Story,7,7,157000
30,RL,NA,25339,1Story,5,7,112000
50,RL,60,9060,1.5Fin,6,5,105000
50,RM,40,5436,1.5Fin,4,8,125500
60,RL,80,16692,2Story,7,5,250000
50,RM,60,8520,1.5Fin,6,7,136000
20,RL,42,14892,1Story,9,5,377500
50,RM,60,6000,1.5Fin,6,6,131000
20,RL,70,9100,1Story,7,5,235000
90,RL,65,8944,1Story,5,5,124000
85,RL,68,7838,SFoyer,5,5,123000
190,RM,60,10800,1.5Fin,6,7,163000
120,RL,53,4045,1Story,7,5,246578
60,RL,88,12665,2Story,8,5,281213
20,RL,NA,57200,1Story,5,5,160000
70,RM,51,6120,2Story,5,8,137500
50,RL,60,7200,1.5Fin,5,4,138000
50,RL,51,6171,1.5Fin,6,6,137450
50,RM,50,6000,1.5Fin,6,7,120000
60,RL,62,7415,2Story,6,5,193000
20,RL,64,6762,1Story,7,5,193879
20,RL,49,15256,1Story,8,5,282922
50,RL,60,10410,1.5Fin,3,4,105000
120,RM,44,3842,1Story,8,5,275000
85,RL,70,8445,SFoyer,5,7,133000
20,RL,NA,8780,1Story,5,5,112000
70,RM,60,7740,2Story,4,7,125500
60,RL,46,20544,2Story,7,6,215000
60,RL,79,12420,2Story,7,5,230000
50,RL,80,9600,1.5Fin,6,8,140000
90,RL,60,7200,1Story,4,5,90000
20,RL,88,10994,1Story,8,5,257000
50,RL,64,13053,1.5Fin,6,7,207000
120,RL,51,3635,1Story,7,5,175900
190,RM,60,11340,2Story,4,6,122500
60,RL,NA,16545,2Story,8,5,340000
20,RL,71,9204,1Story,5,5,124000
20,RL,NA,16381,1Story,6,5,223000
60,RL,90,11700,2Story,6,6,179900
120,RL,53,4043,1Story,6,5,127500
120,RM,37,4435,1Story,6,5,136500
80,RL,NA,19690,SLvl,6,7,274970
20,RL,NA,9503,1Story,5,5,144000
20,RL,80,10721,1Story,6,6,142000
60,RL,81,10944,2Story,7,5,271000
50,RL,60,10930,1.5Fin,5,6,140000
30,RM,60,7200,1Story,5,7,119000
20,RL,NA,12546,1Story,6,7,182900
60,RL,60,21930,2Story,5,5,192140
120,RL,NA,4928,1Story,6,6,143750
30,RL,60,10800,1Story,4,6,64500
60,RL,93,10261,2Story,6,5,186500
20,RL,80,17400,1Story,5,5,160000
20,RL,80,8400,1Story,6,9,174000
20,RL,60,9000,1Story,4,6,120500
20,RL,96,12444,1Story,8,5,394617
20,RM,90,7407,1Story,6,7,149700
60,RL,80,11584,SLvl,7,6,197000
70,RL,79,11526,2.5Fin,6,7,191000
120,RM,NA,4426,1Story,6,5,149300
60,FV,85,11003,2Story,10,5,310000
30,RL,NA,8854,1.5Unf,6,6,121000
20,RL,63,8500,1Story,7,5,179600
85,RL,70,8400,SFoyer,6,5,129000
20,RL,NA,26142,1Story,5,7,157900
60,RL,80,10000,2Story,8,5,240000
50,RL,70,11767,2Story,4,7,112000
180,RM,21,1533,SFoyer,5,7,92000
90,RL,60,9000,2Story,5,5,136000
20,RL,78,9262,1Story,8,5,287090
180,RM,35,3675,SLvl,5,5,145000
20,RL,90,17217,1Story,5,5,84500
20,FV,62,7500,1Story,7,5,185000
60,RL,62,7917,2Story,6,5,175000
20,RL,85,13175,1Story,6,6,210000
70,RL,66,9042,2Story,7,9,266500
20,RL,68,9717,1Story,5,6,142125
20,RL,75,9937,1Story,5,6,147500
